instance_id,is_correct
0,0
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,1
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,1
173,1
174,0
175,1
176,0
177,1
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,0
188,0
189,0
190,1
191,0
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,1
210,0
211,0
212,0
213,1
214,0
215,1
216,0
217,0
218,0
219,1
220,1
221,0
222,0
223,1
224,0
225,0
226,1
227,0
228,1
229,0
230,1
231,1
232,1
233,0
234,0
235,1
236,0
237,0
238,1
239,1
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,1
322,1
323,0
324,1
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,0
333,1
334,1
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,1
343,1
344,1
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,1
356,0
357,1
358,1
359,1
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,0
372,1
373,1
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,1
393,1
394,0
395,1
396,0
397,0
398,1
399,1
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,1
443,1
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,0
452,0
453,1
454,1
455,1
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,0
467,0
468,1
469,1
470,0
471,0
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,0
487,0
488,0
489,0
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,1
499,0
500,1
501,1
502,1
503,1
504,0
505,1
506,0
507,1
508,1
509,1
510,0
511,0
512,1
513,1
514,0
515,1
516,0
517,1
518,1
519,0
520,0
521,1
522,1
523,1
524,0
525,1
526,0
527,1
528,0
529,0
530,0
