instance_id,is_correct
0,0
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,0
16,1
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,1
29,1
30,0
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,0
55,1
56,1
57,1
58,1
59,0
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,0
215,1
216,0
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,0
228,1
229,0
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,1
246,0
247,0
248,1
249,1
250,1
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,0
261,0
262,0
263,1
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,1
372,0
373,1
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,1
398,1
399,1
400,0
401,1
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,1
411,0
412,1
413,1
414,0
415,1
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,1
458,1
459,0
460,0
461,0
462,0
463,1
464,0
465,1
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,0
487,1
488,0
489,1
490,1
491,0
492,1
493,1
494,0
495,1
496,0
497,0
498,1
499,0
500,1
501,1
502,1
503,1
504,0
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,0
523,1
524,0
525,1
526,1
527,0
528,1
529,0
530,1
